,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Age_in_years,Dt_Customer_Day,Dt_Customer_Month,Dt_Customer_Year,TotalMntSpent,Total_Number_Purchases,Age Segmentation
611,Graduation,Divorced,62551.0,0,0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,India,69,18,11,2013,421,18,Above 65 years
612,PhD,Together,70123.0,0,0,27,1308,0,396,23,0,0,1,5,7,4,3,0,1,0,0,1,0,0,India,39,28,9,2013,1727,17,Between 35 and 44
613,Graduation,Single,50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,Central America,60,10,9,2013,114,8,Between 55 and 64
614,2n Cycle,Married,15315.0,0,0,27,7,4,13,15,8,17,2,2,0,4,5,0,0,0,0,0,0,0,Spain,52,3,8,2013,64,8,Between 45 and 54
615,PhD,Together,64413.0,0,1,27,200,5,44,0,10,20,1,5,1,5,5,0,0,0,0,0,0,0,Spain,52,1,8,2013,279,12,Between 45 and 54
616,PhD,Married,87171.0,0,0,27,1001,44,107,58,44,44,1,6,7,11,2,1,0,1,0,0,0,0,Spain,41,1,5,2013,1298,25,Between 35 and 44
617,Graduation,Single,30081.0,0,1,27,36,0,2,0,0,4,1,1,0,3,7,0,0,0,0,0,0,0,Spain,61,21,2,2013,42,5,Between 55 and 64
618,Graduation,Single,20180.0,0,0,27,18,42,24,15,20,18,1,2,1,4,7,0,0,0,0,0,0,0,Spain,46,20,2,2013,137,8,Between 45 and 54
619,Graduation,Divorced,55686.0,0,1,27,673,0,199,37,47,26,2,6,3,5,4,1,0,0,0,0,0,0,Spain,56,14,2,2013,982,16,Between 55 and 64
620,2n Cycle,Married,26887.0,0,1,27,6,7,4,3,4,6,1,1,0,3,6,0,0,0,0,0,0,0,Spain,63,10,2,2013,30,5,Between 55 and 64
621,PhD,Married,61996.0,0,1,27,1050,12,144,0,0,24,3,6,4,8,5,0,1,0,1,1,1,0,Spain,45,31,1,2013,1230,21,Between 45 and 54
622,Graduation,Divorced,51537.0,0,1,27,787,20,204,0,0,92,3,2,2,11,8,0,0,0,0,0,0,0,South America,70,9,12,2012,1103,18,Above 65 years
623,Graduation,Together,72025.0,0,0,27,833,33,549,151,133,233,1,4,3,8,3,0,0,0,0,0,0,0,Spain,60,17,11,2012,1932,16,Between 55 and 64
624,Master,Together,30538.0,1,0,27,284,0,52,8,3,20,4,9,0,4,10,0,0,0,0,0,0,0,Spain,51,1,10,2012,367,17,Between 45 and 54
625,2n Cycle,Single,61618.0,0,0,27,605,91,399,0,45,205,2,3,6,8,3,0,0,0,0,0,0,0,India,31,29,9,2012,1345,19,Between 25 and 34
626,Graduation,Married,77343.0,0,0,28,227,151,573,98,54,31,1,3,4,9,1,0,0,0,0,0,0,0,Central America,57,9,6,2014,1134,17,Between 55 and 64
627,Graduation,Married,75433.0,1,0,28,800,0,297,0,34,57,2,2,5,10,6,0,1,0,1,0,0,0,Spain,33,5,4,2014,1188,19,Between 25 and 34
628,PhD,Widow,82571.0,0,0,28,861,31,558,62,95,79,0,6,5,13,2,0,0,1,0,0,0,0,Spain,60,2,4,2014,1686,24,Between 55 and 64
629,Master,Together,60033.0,0,1,28,62,1,57,19,11,48,2,2,1,5,2,0,0,0,0,0,0,0,Spain,68,29,3,2014,198,10,Above 65 years
630,Graduation,Single,39062.0,1,0,28,23,0,9,0,0,12,1,1,0,3,4,1,0,0,0,0,0,0,Spain,39,25,3,2014,44,5,Between 35 and 44
631,Graduation,Married,30023.0,1,0,28,11,0,16,7,6,21,1,2,0,3,8,0,0,0,0,0,0,0,Spain,50,24,3,2014,61,6,Between 45 and 54
632,Graduation,Single,30015.0,1,0,28,25,0,22,2,3,5,2,1,0,4,5,0,0,0,0,0,0,0,Spain,52,2,2,2014,57,7,Between 45 and 54
633,Graduation,Married,33228.0,1,0,28,22,2,31,7,4,5,1,2,0,3,7,0,0,0,0,0,0,0,Spain,42,23,1,2014,71,6,Between 35 and 44
634,Graduation,Married,22574.0,2,1,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,Spain,55,28,10,2013,37,7,Between 55 and 64
635,Graduation,Married,55267.0,0,1,28,161,28,136,32,3,45,4,3,4,6,3,0,0,0,0,0,0,0,Central America,65,21,10,2013,405,17,Between 55 and 64
636,Graduation,Together,66886.0,0,1,28,315,4,62,41,31,146,2,7,1,7,5,0,0,0,0,0,0,0,Spain,64,16,9,2013,599,17,Between 55 and 64
637,Graduation,Single,72258.0,0,1,28,522,0,522,227,120,134,2,6,9,5,2,0,0,0,0,0,0,0,Central America,51,12,9,2013,1525,22,Between 45 and 54
638,PhD,Single,82733.0,0,0,28,712,50,420,65,38,38,1,8,4,7,4,0,0,0,0,0,1,0,Spain,38,10,9,2013,1323,20,Between 35 and 44
639,Graduation,Divorced,45146.0,1,1,28,33,0,5,0,0,15,2,1,1,2,4,0,0,0,0,0,0,0,India,59,15,7,2013,53,6,Between 55 and 64
640,2n Cycle,Single,51250.0,1,0,28,342,32,230,34,32,40,5,10,5,4,9,1,0,0,0,0,0,0,South America,32,30,3,2013,710,24,Between 25 and 34
641,Graduation,Married,32871.0,1,1,28,22,2,12,0,2,5,1,1,0,3,4,0,0,0,0,0,0,0,United States of America,71,9,3,2013,43,5,Above 65 years
642,2n Cycle,Together,63855.0,0,0,28,359,35,314,93,116,89,1,7,3,13,4,0,0,0,0,0,0,0,Germany,44,9,2,2013,1006,24,Between 35 and 44
643,PhD,Divorced,42564.0,0,1,28,324,48,186,39,18,198,6,6,8,4,7,1,0,0,0,0,1,0,Central America,54,2,1,2013,813,24,Between 45 and 54
644,2n Cycle,Together,46344.0,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,Central America,50,14,12,2012,429,17,Between 45 and 54
645,Graduation,Married,50437.0,0,2,28,370,9,92,6,9,4,3,7,1,8,7,0,0,0,0,0,0,0,Spain,59,17,10,2012,490,19,Between 55 and 64
646,Graduation,Together,70971.0,0,1,28,1001,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,1,0,Spain,62,21,9,2012,1825,34,Between 55 and 64
647,Graduation,Single,37774.0,2,0,28,173,8,107,7,2,176,4,7,2,3,9,1,0,0,0,0,1,1,Spain,45,3,9,2012,473,16,Between 45 and 54
648,PhD,Married,4023.0,1,1,29,5,0,1,1,1,1,15,0,0,0,19,0,0,0,0,0,0,0,Spain,59,23,6,2014,9,15,Between 55 and 64
649,Graduation,Single,33279.0,0,0,29,10,3,3,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,Spain,56,12,6,2014,16,4,Between 55 and 64
650,Graduation,Married,42693.0,1,0,29,8,4,20,6,3,16,1,1,0,3,5,0,0,0,0,0,0,0,Spain,44,7,6,2014,57,5,Between 35 and 44
651,Master,Together,70545.0,0,1,29,138,39,63,55,18,21,1,4,1,7,2,0,0,0,0,0,0,0,Australia,70,3,6,2014,334,13,Above 65 years
652,Graduation,Widow,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,Australia,65,12,5,2014,507,17,Between 55 and 64
653,Master,Together,77882.0,0,0,29,68,129,396,188,22,15,1,3,3,5,1,0,0,0,0,0,0,0,South America,41,30,4,2014,818,12,Between 35 and 44
654,Graduation,Together,78468.0,0,0,29,434,22,388,104,22,34,1,10,7,10,4,0,0,0,1,0,0,0,United States of America,62,9,4,2014,1004,28,Between 55 and 64
655,Graduation,Together,77226.0,0,1,29,631,43,239,128,76,21,2,6,8,12,3,0,0,0,0,0,0,0,Spain,59,28,2,2014,1138,28,Between 55 and 64
656,Master,Single,90638.0,0,0,29,1156,120,915,94,144,96,1,3,4,10,1,0,0,1,0,0,0,0,Spain,31,13,2,2014,2525,18,Between 25 and 34
657,Master,Single,90638.0,0,0,29,1156,120,915,94,144,96,1,3,4,10,1,0,0,1,0,0,1,0,South America,31,13,2,2014,2525,18,Between 25 and 34
658,Graduation,Together,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,Australia,74,6,12,2013,1076,16,Above 65 years
659,2n Cycle,Divorced,59052.0,0,1,29,230,35,75,63,57,31,3,7,1,7,5,0,0,0,0,0,0,0,South America,63,17,11,2013,491,18,Between 55 and 64
660,Basic,Together,13084.0,0,0,29,2,0,7,3,7,10,1,1,0,3,6,0,0,0,0,0,0,0,United States of America,70,2,11,2013,29,5,Above 65 years
661,Graduation,Divorced,49160.0,0,1,29,122,21,43,25,10,15,2,3,1,6,6,0,0,0,0,0,0,0,Spain,73,20,10,2013,236,12,Above 65 years
662,Graduation,Divorced,23272.0,0,0,29,19,3,6,4,2,12,1,1,0,3,4,0,0,0,0,0,0,0,Spain,69,17,10,2013,46,5,Above 65 years
663,Master,Divorced,49476.0,0,1,29,386,23,95,54,41,196,4,2,11,5,2,0,0,0,0,0,0,0,Central America,59,20,6,2013,795,22,Between 55 and 64
664,Master,Married,62694.0,1,1,29,379,6,157,25,91,91,5,9,3,7,7,0,0,0,0,0,0,0,Spain,57,17,6,2013,749,24,Between 55 and 64
665,PhD,Together,57906.0,0,1,29,243,11,119,10,3,15,3,4,2,8,4,0,0,0,0,0,0,0,India,49,11,6,2013,401,17,Between 45 and 54
666,Graduation,Together,71853.0,0,0,29,358,108,413,141,97,32,1,2,8,6,1,0,0,0,0,0,0,0,Spain,40,8,5,2013,1149,17,Between 35 and 44
667,Graduation,Married,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,Germany,63,17,3,2013,863,30,Between 55 and 64
668,Graduation,Together,30507.0,0,0,29,65,36,74,38,20,110,1,5,1,4,7,0,0,0,0,0,0,0,Spain,62,11,3,2013,343,11,Between 55 and 64
669,Graduation,Together,67419.0,0,1,29,846,84,352,91,56,42,4,9,4,8,5,0,0,0,0,0,0,0,Central America,52,16,1,2013,1471,25,Between 45 and 54
670,Graduation,Married,59462.0,0,1,29,724,17,143,0,8,196,2,9,2,12,7,0,0,0,0,0,0,0,United States of America,72,5,1,2013,1088,25,Above 65 years
671,Graduation,Single,95529.0,0,0,29,770,29,890,250,27,24,1,7,3,7,3,0,0,1,0,0,1,0,South America,28,3,12,2012,1990,18,Between 25 and 34
672,Graduation,Widow,53653.0,0,0,29,815,10,239,28,10,108,2,10,4,12,6,0,0,0,0,0,0,0,Spain,69,7,11,2012,1210,28,Above 65 years
673,Basic,Married,25965.0,0,0,29,2,2,11,41,7,11,1,2,0,3,8,0,0,0,0,0,0,0,Spain,42,7,9,2012,74,6,Between 35 and 44
674,Graduation,Married,22979.0,1,0,29,16,17,19,20,21,22,3,3,2,2,8,0,0,0,0,0,1,0,Spain,52,6,9,2012,115,10,Between 45 and 54
675,PhD,Single,64950.0,0,1,29,819,0,72,12,0,63,2,11,2,10,7,0,1,0,0,0,0,0,South America,71,12,8,2012,966,25,Above 65 years
676,Graduation,Married,44322.0,1,0,30,46,0,40,3,0,3,2,3,0,3,8,0,0,0,0,0,0,0,South America,37,16,6,2014,92,8,Between 35 and 44
677,Graduation,Married,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,Germany,39,22,5,2014,45,6,Between 35 and 44
678,Graduation,Married,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,Spain,39,22,5,2014,45,6,Between 35 and 44
679,Graduation,Single,56628.0,0,1,30,479,5,82,7,17,171,2,7,6,5,5,1,0,0,0,0,0,0,Central America,45,21,3,2014,761,20,Between 45 and 54
680,2n Cycle,Together,82326.0,0,0,30,938,142,754,159,81,183,1,5,10,6,2,0,1,1,1,0,1,0,Spain,45,10,3,2014,2257,22,Between 45 and 54
681,Graduation,Single,71163.0,0,0,30,283,17,372,138,106,44,1,3,8,12,1,0,0,0,0,0,0,0,Germany,27,9,3,2014,960,24,Between 25 and 34
682,Graduation,Divorced,71022.0,0,1,30,909,12,278,0,12,242,3,5,2,11,8,1,0,0,0,0,0,0,United States of America,44,11,2,2014,1453,21,Between 35 and 44
683,2n Cycle,Single,42607.0,0,1,30,156,29,56,30,32,47,2,3,2,7,3,0,0,0,0,0,0,0,South America,68,17,11,2013,350,14,Above 65 years
684,Graduation,Married,43057.0,0,1,30,213,2,44,0,2,5,4,4,2,5,5,0,0,0,0,0,0,0,Spain,47,30,10,2013,266,15,Between 45 and 54
685,Master,Married,47808.0,0,1,30,123,1,26,2,0,72,2,3,2,3,7,1,0,0,0,0,0,0,Spain,47,20,10,2013,224,10,Between 45 and 54
686,Graduation,Single,29236.0,1,0,30,37,4,24,16,9,9,2,4,0,3,9,0,0,0,0,0,0,0,Spain,35,8,10,2013,99,9,Between 35 and 44
687,Graduation,Widow,40590.0,1,1,30,154,0,50,6,11,37,5,3,4,3,6,1,0,0,0,0,0,0,Central America,53,2,10,2013,258,15,Between 45 and 54
688,Master,Married,77520.0,0,1,30,940,44,396,0,88,58,1,8,7,7,4,1,0,1,1,0,1,0,Spain,63,28,8,2013,1526,23,Between 55 and 64
689,Graduation,Married,40211.0,1,1,30,51,1,7,2,1,25,2,2,1,2,8,1,0,0,0,0,0,0,Spain,41,30,7,2013,87,7,Between 35 and 44
690,PhD,Together,63516.0,1,1,30,141,11,114,15,14,5,4,4,1,7,5,0,0,0,0,0,0,0,Central America,49,6,7,2013,300,16,Between 45 and 54
691,Graduation,Divorced,53034.0,1,1,30,160,15,196,15,11,50,8,6,1,7,8,0,0,0,0,0,0,0,United States of America,48,30,5,2013,447,22,Between 45 and 54
692,Master,Together,22669.0,1,0,30,16,14,36,37,22,48,3,4,1,2,9,0,0,0,0,0,1,0,Spain,47,22,5,2013,173,10,Between 45 and 54
693,Graduation,Married,79908.0,0,0,30,557,129,761,29,185,111,1,5,6,7,2,0,0,1,0,0,0,0,Spain,40,5,4,2013,1772,19,Between 35 and 44
694,PhD,Single,69867.0,0,0,30,196,0,512,33,130,54,1,3,5,8,1,0,0,0,1,0,1,0,South America,36,2,4,2013,925,17,Between 35 and 44
695,Graduation,Divorced,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,1,0,Australia,56,2,4,2013,1093,21,Between 55 and 64
696,Graduation,Single,37070.0,1,1,30,231,7,137,4,15,39,9,5,1,8,7,0,0,0,0,0,1,0,South America,56,20,3,2013,433,23,Between 55 and 64
697,Graduation,Single,37070.0,1,1,30,231,7,137,4,15,39,9,5,1,8,7,0,0,0,0,0,1,0,Spain,56,20,3,2013,433,23,Between 55 and 64
698,Master,Married,38179.0,1,1,30,38,4,22,4,2,20,4,3,1,3,7,0,0,0,0,0,0,0,South America,56,14,3,2013,90,11,Between 55 and 64
699,Graduation,Married,39922.0,1,0,30,29,12,59,19,1,36,2,3,0,4,8,0,0,0,0,0,0,0,India,39,14,2,2013,156,9,Between 35 and 44
700,Graduation,Married,39922.0,1,0,30,29,12,59,19,1,36,2,3,0,4,8,0,0,0,0,0,0,0,Germany,39,14,2,2013,156,9,Between 35 and 44
701,Graduation,Married,39922.0,1,0,30,29,12,59,19,1,36,2,3,0,4,8,0,0,0,0,0,0,0,South America,39,14,2,2013,156,9,Between 35 and 44
702,Master,Single,64191.0,0,1,30,420,15,186,151,38,15,3,5,3,13,3,0,0,0,0,0,0,0,Spain,59,22,1,2013,825,24,Between 55 and 64
703,2n Cycle,Single,41658.0,1,1,30,8,4,12,15,4,29,2,1,1,2,4,0,0,0,0,0,0,0,Australia,47,9,11,2012,72,6,Between 45 and 54
704,Graduation,Divorced,40780.0,0,1,30,229,27,71,13,3,34,4,7,1,5,9,0,0,0,0,0,0,0,Central America,46,8,9,2012,377,17,Between 45 and 54
705,Graduation,Together,77568.0,0,1,30,1230,0,396,232,178,158,1,10,2,8,5,0,1,1,1,0,0,0,Spain,43,25,8,2012,2194,21,Between 35 and 44
706,Graduation,Single,66503.0,1,0,30,91,64,128,65,3,50,2,4,3,6,3,0,0,0,0,0,0,0,Spain,37,14,8,2012,401,15,Between 35 and 44
707,Graduation,Married,83512.0,0,0,31,1060,61,835,80,20,101,1,4,7,10,1,1,0,1,1,1,1,0,Spain,36,17,6,2014,2157,22,Between 35 and 44
708,PhD,Married,31686.0,1,1,31,11,0,5,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,South America,58,5,6,2014,17,6,Between 55 and 64
709,Graduation,Together,71322.0,0,1,31,121,24,124,24,15,42,1,4,1,7,2,0,0,0,0,0,0,0,Australia,46,2,5,2014,350,13,Between 45 and 54
710,Graduation,Single,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,Australia,34,28,4,2014,29,6,Between 25 and 34
711,Graduation,Divorced,22263.0,1,1,31,17,0,2,0,0,2,2,1,0,3,6,0,0,0,0,0,0,1,Spain,71,30,3,2014,21,6,Above 65 years
712,Graduation,Together,34633.0,2,1,31,8,1,5,0,0,1,1,1,0,2,6,0,0,0,0,0,0,0,South America,66,23,1,2014,15,4,Above 65 years
713,Graduation,Together,42162.0,1,0,31,46,7,59,2,4,27,2,3,1,3,6,1,0,0,0,0,1,0,Spain,41,19,11,2013,145,9,Between 35 and 44
714,PhD,Together,162397.0,1,1,31,85,1,16,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,Spain,46,3,6,2013,107,1,Between 45 and 54
715,Graduation,Widow,54162.0,1,1,31,5,6,10,6,5,10,1,1,0,3,4,0,0,0,0,0,0,0,Spain,44,18,3,2013,42,5,Between 35 and 44
716,2n Cycle,Divorced,41769.0,0,1,31,302,29,131,32,0,27,6,8,1,7,8,0,0,0,0,0,0,0,India,67,13,2,2013,521,22,Above 65 years
717,PhD,Together,44953.0,0,0,31,728,17,133,11,8,124,1,7,3,13,6,1,0,0,0,0,0,0,Germany,41,21,12,2012,1021,24,Between 35 and 44
718,PhD,Married,37717.0,1,0,31,9,0,6,4,1,5,1,1,0,2,9,0,0,0,0,0,0,0,South America,44,23,11,2012,25,4,Between 35 and 44
719,PhD,Married,37717.0,1,0,31,9,0,6,4,1,5,1,1,0,2,9,0,0,0,0,0,0,0,Spain,44,23,11,2012,25,4,Between 35 and 44
720,Graduation,Together,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,Australia,52,10,10,2012,120,9,Between 45 and 54
721,2n Cycle,Divorced,67893.0,0,1,31,711,28,142,49,18,47,2,3,2,9,8,0,0,0,0,0,0,0,South America,47,1,10,2012,995,16,Between 45 and 54
722,Graduation,Single,69267.0,0,0,31,778,44,499,95,73,146,2,3,4,5,7,0,0,0,0,0,1,0,South America,69,22,9,2012,1635,14,Above 65 years
723,Basic,Divorced,9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,Central America,46,8,8,2012,29,6,Between 45 and 54
724,Graduation,Single,68281.0,0,0,31,995,112,417,42,48,41,1,2,9,13,5,0,0,0,0,0,1,0,Spain,64,7,8,2012,1655,25,Between 55 and 64
725,2n Cycle,Together,92556.0,0,0,32,493,183,352,184,23,28,0,3,5,13,0,0,0,0,0,0,0,0,Spain,62,20,4,2014,1263,21,Between 55 and 64
726,Graduation,Single,48526.0,1,0,32,23,17,23,43,20,9,1,2,1,4,3,0,0,0,0,0,0,0,Spain,43,24,12,2013,135,8,Between 35 and 44
727,Graduation,Single,90273.0,0,0,32,704,129,853,120,74,111,1,5,6,7,2,0,1,1,1,0,1,0,Spain,31,14,12,2013,1991,19,Between 25 and 34
728,2n Cycle,Together,19414.0,1,0,32,2,3,12,3,5,7,1,1,0,3,8,0,0,0,0,0,0,0,Central America,41,16,10,2013,32,5,Between 35 and 44
729,PhD,Single,79761.0,0,1,32,415,5,124,15,35,11,1,5,2,11,3,0,0,0,0,0,0,0,South America,64,4,10,2013,605,19,Between 55 and 64
730,PhD,Married,53312.0,0,0,32,241,0,12,0,0,25,1,5,1,5,7,0,0,0,0,0,0,0,Spain,71,9,8,2013,278,12,Above 65 years
731,2n Cycle,Together,41039.0,0,0,32,34,11,137,179,61,45,1,8,1,5,8,0,0,0,0,0,0,0,United States of America,40,25,7,2013,467,15,Between 35 and 44
732,Graduation,Together,88347.0,0,0,32,1050,178,555,77,138,118,1,4,7,9,1,0,0,0,1,0,0,0,Spain,61,3,7,2013,2116,21,Between 55 and 64
733,PhD,Married,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,Central America,39,20,6,2013,410,16,Between 35 and 44
734,PhD,Married,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,Spain,39,20,6,2013,410,16,Between 35 and 44
735,Graduation,Single,10245.0,1,0,32,4,7,7,6,4,13,3,1,2,2,5,0,0,0,0,0,0,0,Spain,51,15,5,2013,41,8,Between 45 and 54
736,PhD,Married,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,United States of America,37,8,5,2013,169,10,Between 35 and 44
737,Graduation,Single,40887.0,1,1,32,50,4,44,10,10,43,3,3,1,3,9,0,0,0,0,0,1,0,Spain,70,6,5,2013,161,10,Above 65 years
738,Graduation,Together,55914.0,0,1,32,384,60,364,119,101,232,4,11,6,8,7,0,0,0,0,0,0,0,United States of America,47,29,4,2013,1260,29,Between 45 and 54
739,Graduation,Together,37292.0,1,0,32,275,0,86,10,23,66,5,6,3,5,8,0,0,0,0,0,0,0,Spain,39,18,4,2013,460,19,Between 35 and 44
740,Graduation,Married,52914.0,0,1,32,254,10,44,30,10,227,2,7,3,3,7,1,0,0,0,0,0,0,Central America,51,7,1,2013,575,15,Between 45 and 54
741,2n Cycle,Married,24884.0,1,0,32,3,6,7,0,0,3,1,0,0,3,7,0,0,0,0,0,0,0,Spain,50,29,11,2012,19,4,Between 45 and 54
742,Graduation,Single,67384.0,0,1,32,957,40,175,158,53,107,2,7,8,5,5,0,1,0,0,0,0,0,Spain,52,10,11,2012,1490,22,Between 45 and 54
743,Graduation,Married,51651.0,0,1,32,293,6,23,13,6,92,4,6,2,5,8,0,0,0,0,0,0,0,Australia,62,7,11,2012,433,17,Between 55 and 64
744,Graduation,Married,82497.0,0,0,32,777,129,573,216,21,203,1,2,7,9,4,0,0,1,0,0,0,0,South America,42,31,10,2012,1919,19,Between 35 and 44
745,2n Cycle,Married,32632.0,0,0,32,63,151,137,153,19,53,2,4,4,8,5,0,0,0,0,0,0,0,Spain,59,2,8,2012,576,18,Between 55 and 64
746,Master,Married,33562.0,1,2,33,21,12,12,0,3,3,3,2,0,4,4,0,0,0,0,0,0,0,India,59,25,6,2014,51,9,Between 55 and 64
747,Graduation,Single,79146.0,1,1,33,245,16,223,21,43,16,2,8,1,8,6,0,0,0,0,0,0,0,Germany,55,24,4,2014,564,19,Between 55 and 64
748,Graduation,Single,79146.0,1,1,33,245,16,223,21,43,16,2,8,1,8,6,0,0,0,0,0,0,0,Spain,55,24,4,2014,564,19,Between 55 and 64
749,Master,Single,36143.0,1,0,33,12,0,1,0,0,6,1,0,1,2,3,0,0,0,0,0,0,0,Spain,41,30,3,2014,19,4,Between 35 and 44
750,Master,Married,27159.0,1,1,33,17,0,3,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,Spain,49,29,3,2014,21,6,Between 45 and 54
751,Master,Together,41275.0,1,2,33,24,4,22,0,2,9,4,3,1,3,5,0,0,0,0,0,0,0,Central America,62,24,3,2014,61,11,Between 55 and 64
752,2n Cycle,Married,76800.0,0,0,33,173,26,255,35,71,81,1,4,4,7,1,0,0,0,0,0,0,0,India,57,8,3,2014,641,16,Between 55 and 64
753,Graduation,Married,75794.0,0,0,33,754,160,625,63,32,48,1,7,5,12,3,0,0,0,1,0,0,0,South America,35,24,12,2013,1682,25,Between 35 and 44
754,Graduation,Married,30833.0,1,1,33,11,0,7,3,1,6,2,1,0,3,5,0,0,0,0,0,0,0,Spain,71,16,7,2013,28,6,Above 65 years
755,PhD,Single,26518.0,1,1,33,20,1,28,3,3,2,3,2,0,3,8,0,0,0,0,0,1,0,United States of America,73,8,4,2013,57,8,Above 65 years
756,Graduation,Single,91065.0,0,0,33,822,114,108,179,137,114,1,7,9,9,3,0,0,1,1,0,1,0,Spain,41,22,2,2013,1474,26,Between 35 and 44
757,Master,Single,45183.0,0,0,33,219,3,60,12,9,12,1,4,1,7,7,0,1,0,0,0,0,0,Central America,60,20,1,2013,315,13,Between 55 and 64
758,Graduation,Together,48070.0,0,1,33,373,14,83,6,9,19,3,8,2,6,7,0,0,0,0,0,0,1,Spain,72,13,1,2013,504,19,Above 65 years
759,Graduation,Widow,30372.0,1,1,33,15,0,12,7,3,7,3,2,0,3,7,0,0,0,0,0,0,0,Spain,51,25,12,2012,44,8,Between 45 and 54
760,2n Cycle,Married,57036.0,0,1,33,1171,43,219,19,14,47,4,6,3,13,9,1,0,0,0,0,0,0,India,47,11,12,2012,1513,26,Between 45 and 54
761,Graduation,Widow,66731.0,0,1,33,371,159,194,58,106,141,4,4,3,6,3,0,0,0,0,0,0,0,Spain,52,12,9,2012,1029,17,Between 45 and 54
762,PhD,Divorced,35682.0,1,0,34,23,0,8,6,2,18,1,1,1,3,2,0,0,0,0,0,0,0,Australia,52,27,6,2014,57,6,Between 45 and 54
763,Master,Divorced,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,Australia,33,22,5,2014,30,8,Between 25 and 34
764,Master,Divorced,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,Spain,33,22,5,2014,30,8,Between 25 and 34
765,PhD,Divorced,57912.0,0,1,34,801,0,80,0,0,35,5,8,3,12,5,0,1,0,0,0,0,0,South America,57,17,3,2014,916,28,Between 55 and 64
766,Graduation,Married,36026.0,2,1,34,20,4,10,6,4,17,2,2,0,3,6,0,0,0,0,0,0,0,Australia,50,16,3,2014,61,7,Between 45 and 54
767,Graduation,Married,35788.0,1,1,34,23,2,11,3,1,4,2,2,0,3,6,0,0,0,0,0,0,0,Central America,51,23,1,2014,44,7,Between 45 and 54
768,Graduation,Married,42243.0,1,1,34,48,0,2,0,0,5,2,2,0,3,7,0,0,0,0,0,0,0,South America,63,11,12,2013,55,7,Between 55 and 64
769,Graduation,Divorced,46086.0,0,1,34,244,8,32,7,2,50,4,3,1,8,4,0,0,0,0,0,0,0,Spain,66,3,11,2013,343,16,Above 65 years
770,Master,Together,61346.0,1,0,34,562,58,168,43,16,142,1,5,7,10,3,0,0,0,0,0,0,0,India,44,6,10,2013,989,23,Between 35 and 44
771,Master,Single,33316.0,1,1,34,79,1,31,4,4,12,3,2,1,4,6,0,0,0,0,0,0,0,United States of America,51,4,10,2013,131,10,Between 45 and 54
772,Master,Single,33316.0,1,1,34,79,1,31,4,4,12,3,2,1,4,6,0,0,0,0,0,0,0,Spain,51,4,10,2013,131,10,Between 45 and 54
773,Basic,Single,21063.0,1,0,34,1,10,11,19,3,15,2,2,0,3,6,0,0,0,0,0,0,0,Spain,35,25,9,2013,59,7,Between 35 and 44
774,Graduation,Single,33697.0,1,0,34,4,3,7,0,3,11,1,1,0,2,7,1,0,0,0,0,0,0,Germany,52,15,9,2013,28,4,Between 45 and 54
775,2n Cycle,Married,25804.0,1,0,34,8,7,9,13,6,12,2,2,0,3,8,0,0,0,0,0,0,0,Central America,44,1,9,2013,55,7,Between 35 and 44
